Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,regulation of epidermal cell differentiation (GO:0045604), 1/25,0.1611477875160956,0.3754414316254684,SERPINB13
GO_Biological_Process_2021,positive regulation of peptidyl-threonine phosphorylation (GO:0010800), 1/25,0.1611477875160956,0.3754414316254684,BMP7
GO_Biological_Process_2021,regulation of heterotypic cell-cell adhesion (GO:0034114), 1/25,0.1611477875160956,0.3754414316254684,BMP7
GO_Biological_Process_2021,positive regulation of T cell migration (GO:2000406), 1/25,0.1611477875160956,0.3754414316254684,S100A7
GO_Biological_Process_2021,energy derivation by oxidation of organic compounds (GO:0015980), 1/25,0.1611477875160956,0.3754414316254684,MRAP2
GO_Biological_Process_2021,negative regulation of cell development (GO:0010721), 1/26,0.1670270935971572,0.3754414316254684,PTHLH
GO_Biological_Process_2021,glial cell development (GO:0021782), 1/26,0.1670270935971572,0.3754414316254684,ZNF488
GO_Biological_Process_2021,regulation of biomineral tissue development (GO:0070167), 1/26,0.1670270935971572,0.3754414316254684,AMTN
GO_Biological_Process_2021,positive regulation of filopodium assembly (GO:0051491), 1/26,0.1670270935971572,0.3754414316254684,TENM2
GO_Biological_Process_2021,regulation of chondrocyte differentiation (GO:0032330), 1/26,0.1670270935971572,0.3754414316254684,PTHLH
GO_Biological_Process_2021,histone lysine demethylation (GO:0070076), 1/26,0.1670270935971572,0.3754414316254684,HR
GO_Biological_Process_2021,retinoic acid metabolic process (GO:0042573), 1/26,0.1670270935971572,0.3754414316254684,ADH7
GO_Biological_Process_2021,negative regulation of protein localization to membrane (GO:1905476), 1/26,0.1670270935971572,0.3754414316254684,MRAP2
GO_Biological_Process_2021,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740), 1/26,0.1670270935971572,0.3754414316254684,TP63
GO_Biological_Process_2021,metanephros development (GO:0001656), 1/26,0.1670270935971572,0.3754414316254684,BMP7
GO_Biological_Process_2021,regulation of monocyte chemotaxis (GO:0090025), 1/26,0.1670270935971572,0.3754414316254684,S100A7
GO_Biological_Process_2021,regulation of myelination (GO:0031641), 1/26,0.1670270935971572,0.3754414316254684,PTPRZ1
GO_Biological_Process_2021,regulation of potassium ion transmembrane transporter activity (GO:1901016), 1/26,0.1670270935971572,0.3754414316254684,KCNG1
GO_Biological_Process_2021,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739), 1/26,0.1670270935971572,0.3754414316254684,TP63
GO_Biological_Process_2021,generation of neurons (GO:0048699), 3/202,0.1686553536226232,0.3774313640541524,NTRK2;IRX4;EN1
GO_Biological_Process_2021,negative regulation of catalytic activity (GO:0043086), 1/27,0.1728654854017687,0.3851564323863969,SERPINB3
GO_Biological_Process_2021,neutral amino acid transport (GO:0015804), 1/28,0.1786632456151985,0.3946127337935689,SLC6A15
GO_Biological_Process_2021,regulation of multicellular organismal development (GO:2000026), 1/28,0.1786632456151985,0.3946127337935689,DUSP9
GO_Biological_Process_2021,glial cell differentiation (GO:0010001), 1/29,0.1844206549824222,0.4020845181591008,PTPRZ1
GO_Biological_Process_2021,negative regulation of interferon-gamma production (GO:0032689), 1/29,0.1844206549824222,0.4020845181591008,LGALS7
GO_Biological_Process_2021,negative regulation of mRNA catabolic process (GO:1902373), 1/29,0.1844206549824222,0.4020845181591008,PKP1
GO_Biological_Process_2021,positive regulation of endopeptidase activity (GO:0010950), 1/30,0.1901379923342801,0.4075531650034359,SERPINB3
GO_Biological_Process_2021,response to alcohol (GO:0097305), 1/30,0.1901379923342801,0.4075531650034359,ADH7
GO_Biological_Process_2021,ion homeostasis (GO:0050801), 1/30,0.1901379923342801,0.4075531650034359,RHCG
GO_Biological_Process_2021,maintenance of blood-brain barrier (GO:0035633), 1/30,0.1901379923342801,0.4075531650034359,GJB6
GO_Biological_Process_2021,positive regulation of mononuclear cell migration (GO:0071677), 1/31,0.1958155345491977,0.4162104248995501,S100A7
GO_Biological_Process_2021,organelle transport along microtubule (GO:0072384), 1/31,0.1958155345491977,0.4162104248995501,HAP1
GO_Biological_Process_2021,adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189), 2/118,0.2001632107565454,0.4228859784238193,S1PR5;PTHLH
GO_Biological_Process_2021,activation of phospholipase C activity (GO:0007202), 1/32,0.2014535566507171,0.4228859784238193,NTRK2
GO_Biological_Process_2021,endodermal cell differentiation (GO:0035987), 1/32,0.2014535566507171,0.4228859784238193,COL7A1
GO_Biological_Process_2021,nervous system development (GO:0007399), 5/447,0.2045663975515436,0.427348374674537,PTPRZ1;DLX5;DLX6;ADAM23;HAP1
GO_Biological_Process_2021,cytoskeleton organization (GO:0007010), 2/120,0.2052618177570611,0.427348374674537,KRT16;KRT13
GO_Biological_Process_2021,negative regulation of JNK cascade (GO:0046329), 1/33,0.207052331764463,0.4275714818550701,SERPINB3
GO_Biological_Process_2021,primary alcohol metabolic process (GO:0034308), 1/33,0.207052331764463,0.4275714818550701,ADH7
GO_Biological_Process_2021,positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742), 1/34,0.2126121311159233,0.4285990579638454,HAP1
GO_Biological_Process_2021,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030), 1/34,0.2126121311159233,0.4285990579638454,TP63
GO_Biological_Process_2021,striated muscle tissue development (GO:0014706), 1/34,0.2126121311159233,0.4285990579638454,BMP7
GO_Biological_Process_2021,central nervous system neuron differentiation (GO:0021953), 1/34,0.2126121311159233,0.4285990579638454,NTRK2
GO_Biological_Process_2021,regulation of keratinocyte differentiation (GO:0045616), 1/34,0.2126121311159233,0.4285990579638454,SERPINB13
GO_Biological_Process_2021,positive regulation of release of sequestered calcium ion into cytosol (GO:0051281), 1/34,0.2126121311159233,0.4285990579638454,HAP1
GO_Biological_Process_2021,regulation of JUN kinase activity (GO:0043506), 1/35,0.2181332241144601,0.4345555994123362,SERPINB3
GO_Biological_Process_2021,positive regulation of reproductive process (GO:2000243), 1/35,0.2181332241144601,0.4345555994123362,BNC1
GO_Biological_Process_2021,regulation of postsynaptic membrane potential (GO:0060078), 1/35,0.2181332241144601,0.4345555994123362,GABRA3
GO_Biological_Process_2021,positive regulation of bone mineralization (GO:0030501), 1/36,0.2236158782781523,0.4402979308732612,BMP7
GO_Biological_Process_2021,axonal transport (GO:0098930), 1/36,0.2236158782781523,0.4402979308732612,HAP1
GO_Biological_Process_2021,endoderm formation (GO:0001706), 1/36,0.2236158782781523,0.4402979308732612,COL7A1
GO_Biological_Process_2021,anterograde axonal transport (GO:0008089), 1/37,0.2290603593240668,0.447548702063946,HAP1
GO_Biological_Process_2021,negative regulation of epithelial cell apoptotic process (GO:1904036), 1/37,0.2290603593240668,0.447548702063946,SERPINB13
GO_Biological_Process_2021,regulation of ERK1 and ERK2 cascade (GO:0070372), 3/238,0.2329772992528724,0.4534577318791539,NTRK2;DUSP9;S100A7
GO_Biological_Process_2021,transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178), 2/133,0.2386919954833755,0.4546142339807859,DLX5;BMP7
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284), 5/474,0.2387217115575513,0.4546142339807859,SERPINB3;NTRK2;BNC1;PTHLH;KRT6A
GO_Biological_Process_2021,regulation of dendrite development (GO:0050773), 1/39,0.2398358557221469,0.4546142339807859,BMP7
GO_Biological_Process_2021,regulation of intracellular transport (GO:0032386), 1/39,0.2398358557221469,0.4546142339807859,HAP1
GO_Biological_Process_2021,odontogenesis (GO:0042476), 1/39,0.2398358557221469,0.4546142339807859,AMTN
GO_Biological_Process_2021,vesicle cytoskeletal trafficking (GO:0099518), 1/39,0.2398358557221469,0.4546142339807859,HAP1
GO_Biological_Process_2021,regulation of peptidyl-threonine phosphorylation (GO:0010799), 1/39,0.2398358557221469,0.4546142339807859,BMP7
GO_Biological_Process_2021,anterograde trans-synaptic signaling (GO:0098916), 3/244,0.2441247059032836,0.4578861612750843,GABRQ;GABRA3;HAP1
GO_Biological_Process_2021,negative regulation of blood coagulation (GO:0030195), 1/40,0.2451673934386278,0.4578861612750843,SERPINB2
GO_Biological_Process_2021,positive regulation of cation channel activity (GO:2001259), 1/40,0.2451673934386278,0.4578861612750843,HAP1
GO_Biological_Process_2021,positive regulation of ossification (GO:0045778), 1/40,0.2451673934386278,0.4578861612750843,BMP7
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628), 5/482,0.2491385112668633,0.462296885663415,NTRK2;PKP1;IL36G;LGALS7;BMP7
GO_Biological_Process_2021,regulation of filopodium assembly (GO:0051489), 1/41,0.2504618027261238,0.462296885663415,TENM2
GO_Biological_Process_2021,JNK cascade (GO:0007254), 1/41,0.2504618027261238,0.462296885663415,DUSP9
GO_Biological_Process_2021,protein dephosphorylation (GO:0006470), 2/139,0.2542271115501414,0.462296885663415,PTPRZ1;DUSP9
GO_Biological_Process_2021,positive regulation of epithelial to mesenchymal transition (GO:0010718), 1/42,0.2557193402980701,0.462296885663415,SERPINB3
GO_Biological_Process_2021,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157), 1/42,0.2557193402980701,0.462296885663415,TENM2
GO_Biological_Process_2021,ceramide biosynthetic process (GO:0046513), 1/42,0.2557193402980701,0.462296885663415,CERS3
GO_Biological_Process_2021,positive regulation of protein tyrosine kinase activity (GO:0061098), 1/42,0.2557193402980701,0.462296885663415,NTRK2
GO_Biological_Process_2021,regulation of nervous system development (GO:0051960), 1/42,0.2557193402980701,0.462296885663415,PTPRZ1
GO_Biological_Process_2021,positive regulation of axonogenesis (GO:0050772), 1/43,0.2609402610746575,0.4684015993848977,NTRK2
GO_Biological_Process_2021,positive regulation of phospholipase C activity (GO:0010863), 1/43,0.2609402610746575,0.4684015993848977,NTRK2
GO_Biological_Process_2021,neuron development (GO:0048666), 2/143,0.2645985920957099,0.4694146101268105,NTRK2;TENM2
GO_Biological_Process_2021,nitrogen compound transport (GO:0071705), 2/143,0.2645985920957099,0.4694146101268105,SLC6A15;RHCG
GO_Biological_Process_2021,branching morphogenesis of an epithelial tube (GO:0048754), 1/44,0.2661248183396091,0.4694146101268105,HOXD11
GO_Biological_Process_2021,neurogenesis (GO:0022008), 1/44,0.2661248183396091,0.4694146101268105,HAP1
GO_Biological_Process_2021,embryonic organ morphogenesis (GO:0048562), 1/44,0.2661248183396091,0.4694146101268105,FOXE1
GO_Biological_Process_2021,positive regulation of Notch signaling pathway (GO:0045747), 1/45,0.2712732634608439,0.476840200131864,TP63
GO_Biological_Process_2021,interleukin-12-mediated signaling pathway (GO:0035722), 1/46,0.2763858462398367,0.4841517582408173,SERPINB2
GO_Biological_Process_2021,epidermal growth factor receptor signaling pathway (GO:0007173), 1/47,0.2814628146498205,0.4863371083064926,FAM83B
GO_Biological_Process_2021,epithelial to mesenchymal transition (GO:0001837), 1/47,0.2814628146498205,0.4863371083064926,BMP7
GO_Biological_Process_2021,positive regulation of cell-cell adhesion (GO:0022409), 1/47,0.2814628146498205,0.4863371083064926,BMP7
GO_Biological_Process_2021,positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862), 1/47,0.2814628146498205,0.4863371083064926,BMP7
GO_Biological_Process_2021,negative regulation of mitotic cell cycle (GO:0045930), 1/48,0.2865044149796206,0.4917035230055651,BMP7
GO_Biological_Process_2021,cellular response to interleukin-12 (GO:0071349), 1/48,0.2865044149796206,0.4917035230055651,SERPINB2
GO_Biological_Process_2021,central nervous system development (GO:0007417), 3/268,0.2894410262324101,0.4950708462157048,PTPRZ1;ADAM23;HAP1
GO_Biological_Process_2021,dephosphorylation (GO:0016311), 2/153,0.2905179677474917,0.4952453946836436,PTPRZ1;DUSP9
GO_Biological_Process_2021,amino acid transport (GO:0006865), 1/50,0.2964824884084789,0.4987550568779035,SLC6A15
GO_Biological_Process_2021,negative regulation of ERK1 and ERK2 cascade (GO:0070373), 1/50,0.2964824884084789,0.4987550568779035,DUSP9
GO_Biological_Process_2021,neuron migration (GO:0001764), 1/50,0.2964824884084789,0.4987550568779035,NTRK2
GO_Biological_Process_2021,inorganic cation transmembrane transport (GO:0098662), 3/274,0.3008899074074589,0.4987550568779035,KCNG1;SLC6A15;RHCG
GO_Biological_Process_2021,regulation of axonogenesis (GO:0050770), 1/51,0.3014194457200972,0.4987550568779035,NTRK2
GO_Biological_Process_2021,positive regulation of fat cell differentiation (GO:0045600), 1/51,0.3014194457200972,0.4987550568779035,BMP7
GO_Biological_Process_2021,sensory perception (GO:0007600), 1/51,0.3014194457200972,0.4987550568779035,USH1G
GO_Biological_Process_2021,mesenchymal cell differentiation (GO:0048762), 1/51,0.3014194457200972,0.4987550568779035,BMP7
GO_Biological_Process_2021,response to lipopolysaccharide (GO:0032496), 2/159,0.3060250414865665,0.4987550568779035,IL36G;S100A7
GO_Biological_Process_2021,ameboidal-type cell migration (GO:0001667), 1/52,0.3063220034368226,0.4987550568779035,FAT2
GO_Biological_Process_2021,amide biosynthetic process (GO:0043604), 1/52,0.3063220034368226,0.4987550568779035,CERS3
GO_Biological_Process_2021,regulation of exocytosis (GO:0017157), 1/52,0.3063220034368226,0.4987550568779035,HAP1
GO_Biological_Process_2021,endocytic recycling (GO:0032456), 1/52,0.3063220034368226,0.4987550568779035,SNX31
GO_Biological_Process_2021,plasma membrane bounded cell projection morphogenesis (GO:0120039), 1/52,0.3063220034368226,0.4987550568779035,BMP7
GO_Biological_Process_2021,positive regulation of leukocyte chemotaxis (GO:0002690), 1/54,0.3160248704252871,0.5129093743643637,S100A7
GO_Biological_Process_2021,ceramide metabolic process (GO:0006672), 1/55,0.3208256507511988,0.5184341679559046,CERS3
GO_Biological_Process_2021,adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188), 2/165,0.3214700057206888,0.5184341679559046,S1PR5;PTHLH
GO_Biological_Process_2021,positive regulation of establishment of protein localization to mitochondrion (GO:1903749), 1/56,0.3255929736406137,0.5234216158526321,TP63
GO_Biological_Process_2021,regulation of bone mineralization (GO:0030500), 1/57,0.3303270706095505,0.5260380936352717,BMP7
GO_Biological_Process_2021,carboxylic acid transport (GO:0046942), 1/57,0.3303270706095505,0.5260380936352717,SLC6A15
GO_Biological_Process_2021,regulation of mitotic nuclear division (GO:0007088), 1/57,0.3303270706095505,0.5260380936352717,BMP7
GO_Biological_Process_2021,chordate embryonic development (GO:0043009), 1/58,0.3350281715650445,0.5277242337679403,BMP7
GO_Biological_Process_2021,membrane lipid biosynthetic process (GO:0046467), 1/58,0.3350281715650445,0.5277242337679403,CERS3
GO_Biological_Process_2021,regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393), 1/58,0.3350281715650445,0.5277242337679403,BMP7
GO_Biological_Process_2021,positive regulation of ERK1 and ERK2 cascade (GO:0070374), 2/172,0.3393824716877955,0.5277242337679403,NTRK2;S100A7
GO_Biological_Process_2021,negative regulation of autophagy (GO:0010507), 1/59,0.3396965048073159,0.5277242337679403,DAPL1
GO_Biological_Process_2021,regulation of secretion by cell (GO:1903530), 1/59,0.3396965048073159,0.5277242337679403,HAP1
GO_Biological_Process_2021,fatty acid oxidation (GO:0019395), 1/59,0.3396965048073159,0.5277242337679403,ADH7
GO_Biological_Process_2021,response to reactive oxygen species (GO:0000302), 1/59,0.3396965048073159,0.5277242337679403,S100A7
GO_Biological_Process_2021,regulation of gene expression (GO:0010468), 9/1079,0.3433036565732578,0.5317020046927287,NTRK2;BNC1;PKP1;IL36G;HOXD13;LGALS7;ZNF488;BMP7;PTHLH
GO_Biological_Process_2021,cation transport (GO:0006812), 2/174,0.3444751593385071,0.5318947749056584,KCNG1;RHCG
GO_Biological_Process_2021,response to light stimulus (GO:0009416), 1/61,0.3489357737922681,0.5371496154135521,SERPINB13
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198), 3/300,0.3506479997263244,0.5381546340210659,CAPNS2;COL7A1;COL4A6
GO_Biological_Process_2021,positive regulation of developmental process (GO:0051094), 2/177,0.3520906978957507,0.5387411883465102,AMTN;BMP7
GO_Biological_Process_2021,stress-activated MAPK cascade (GO:0051403), 1/62,0.3535071583799321,0.5392841935645811,DUSP9
GO_Biological_Process_2021,COPII vesicle coating (GO:0048208), 1/63,0.358046673018841,0.541332469921343,COL7A1
GO_Biological_Process_2021,vesicle coating (GO:0006901), 1/63,0.358046673018841,0.541332469921343,COL7A1
GO_Biological_Process_2021,"vesicle targeting, rough ER to cis-Golgi (GO:0048207)", 1/63,0.358046673018841,0.541332469921343,COL7A1
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268), 3/306,0.362106628587613,0.5449044540574095,GABRQ;GABRA3;HAP1
GO_Biological_Process_2021,negative regulation of cell cycle process (GO:0010948), 1/64,0.3625545383295362,0.5449044540574095,BMP7
GO_Biological_Process_2021,ERBB signaling pathway (GO:0038127), 1/66,0.3714761957915194,0.5517833551523155,FAM83B
GO_Biological_Process_2021,extracellular matrix disassembly (GO:0022617), 1/66,0.3714761957915194,0.5517833551523155,CAPNS2
GO_Biological_Process_2021,cellular component disassembly (GO:0022411), 1/66,0.3714761957915194,0.5517833551523155,CAPNS2
GO_Biological_Process_2021,embryonic organ development (GO:0048568), 1/66,0.3714761957915194,0.5517833551523155,FOXE1
GO_Biological_Process_2021,regulation of epidermal growth factor receptor signaling pathway (GO:0042058), 1/67,0.3758904216181217,0.5567123445539528,HAP1
GO_Biological_Process_2021,negative regulation of cellular catabolic process (GO:0031330), 1/69,0.3846267403446223,0.5663489394059946,DAPL1
GO_Biological_Process_2021,cellular response to decreased oxygen levels (GO:0036294), 1/69,0.3846267403446223,0.5663489394059946,BMP7
GO_Biological_Process_2021,negative regulation of cell differentiation (GO:0045596), 2/191,0.3871998193265827,0.5677765031067402,BMP7;PTHLH
GO_Biological_Process_2021,kidney development (GO:0001822), 1/70,0.3889492580337511,0.5677765031067402,BMP7
GO_Biological_Process_2021,COPII-coated vesicle budding (GO:0090114), 1/70,0.3889492580337511,0.5677765031067402,COL7A1
GO_Biological_Process_2021,gland development (GO:0048732), 1/71,0.3932416286912648,0.5723975569488897,FOXE1
GO_Biological_Process_2021,regulation of programmed cell death (GO:0043067), 2/194,0.3946192262261107,0.5727616197796122,TP53AIP1;TP63
GO_Biological_Process_2021,positive regulation of neurogenesis (GO:0050769), 1/72,0.3975040611089466,0.5748796489759936,NTRK2
GO_Biological_Process_2021,response to molecule of bacterial origin (GO:0002237), 1/73,0.4017367625718065,0.5748796489759936,S100A7
GO_Biological_Process_2021,regulation of hydrolase activity (GO:0051336), 1/73,0.4017367625718065,0.5748796489759936,NTRK2
GO_Biological_Process_2021,neurotransmitter transport (GO:0006836), 1/73,0.4017367625718065,0.5748796489759936,SLC6A15
GO_Biological_Process_2021,positive regulation of synaptic transmission (GO:0050806), 1/73,0.4017367625718065,0.5748796489759936,HAP1
GO_Biological_Process_2021,cellular response to amino acid starvation (GO:0034198), 1/74,0.4059399389618734,0.5773805651015352,DAPL1
GO_Biological_Process_2021,sphingolipid biosynthetic process (GO:0030148), 1/74,0.4059399389618734,0.5773805651015352,CERS3
GO_Biological_Process_2021,endomembrane system organization (GO:0010256), 2/199,0.4068941777684048,0.5773805651015352,ANXA8L1;ANXA8
GO_Biological_Process_2021,response to amino acid starvation (GO:1990928), 1/75,0.4101137947714476,0.5803281552754745,DAPL1
GO_Biological_Process_2021,regulation of cell division (GO:0051302), 1/76,0.4142585330872531,0.5813351790285209,TP63
GO_Biological_Process_2021,cell morphogenesis involved in neuron differentiation (GO:0048667), 1/76,0.4142585330872531,0.5813351790285209,CDHR1
GO_Biological_Process_2021,regulation of epithelial to mesenchymal transition (GO:0010717), 1/76,0.4142585330872531,0.5813351790285209,SERPINB3
GO_Biological_Process_2021,purine ribonucleotide metabolic process (GO:0009150), 1/77,0.418374355612485,0.5838850897009407,PTHLH
GO_Biological_Process_2021,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068), 1/77,0.418374355612485,0.5838850897009407,NTRK2
GO_Biological_Process_2021,negative regulation of protein serine/threonine kinase activity (GO:0071901), 1/78,0.4224614625804619,0.5879737616188347,BMP7
GO_Biological_Process_2021,negative regulation of NF-kappaB transcription factor activity (GO:0032088), 1/79,0.426520052912036,0.5895406055793833,BMP7
GO_Biological_Process_2021,regulation of neuron differentiation (GO:0045664), 1/79,0.426520052912036,0.5895406055793833,BMP7
GO_Biological_Process_2021,negative regulation of cell cycle (GO:0045786), 1/80,0.4305503241534472,0.5895406055793833,BMP7
GO_Biological_Process_2021,response to interferon-gamma (GO:0034341), 1/80,0.4305503241534472,0.5895406055793833,GBP6
GO_Biological_Process_2021,regulation of NIK/NF-kappaB signaling (GO:1901222), 1/80,0.4305503241534472,0.5895406055793833,BMP7
GO_Biological_Process_2021,regulation of protein localization to plasma membrane (GO:1903076), 1/80,0.4305503241534472,0.5895406055793833,MRAP2
GO_Biological_Process_2021,positive regulation of multicellular organismal process (GO:0051240), 3/345,0.4355106359106542,0.5933348937519118,SERPINB3;AMTN;HAP1
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312), 4/481,0.4356573137194156,0.5933348937519118,SERPINB3;CALML5;PKP1;S100A7
GO_Biological_Process_2021,cell-cell junction organization (GO:0045216), 1/82,0.4385266928294213,0.5940574932195894,PKP1
GO_Biological_Process_2021,regulation of G protein-coupled receptor signaling pathway (GO:0008277), 1/82,0.4385266928294213,0.5940574932195894,MRAP2
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283), 4/485,0.4418935296744676,0.5946464939685269,SERPINB3;CALML5;PKP1;S100A7
GO_Biological_Process_2021,positive regulation of plasma membrane bounded cell projection assembly (GO:0120034), 1/83,0.4424731785828802,0.5946464939685269,TENM2
GO_Biological_Process_2021,regulation of Notch signaling pathway (GO:0008593), 1/83,0.4424731785828802,0.5946464939685269,TP63
GO_Biological_Process_2021,positive regulation of cellular process (GO:0048522), 5/625,0.4453895232927214,0.5969315488158018,SERPINB3;NTRK2;BNC1;PTHLH;KRT6A
GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446), 4/488,0.4465578716198122,0.5969315488158018,SERPINB3;CALML5;PKP1;S100A7
GO_Biological_Process_2021,extracellular structure organization (GO:0043062), 2/216,0.4476986616118514,0.5969315488158018,COL7A1;COL4A6
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229), 2/217,0.4500509326558499,0.5984970518041146,COL7A1;COL4A6
GO_Biological_Process_2021,negative regulation of phosphorylation (GO:0042326), 1/86,0.4541481435317654,0.6008001482138982,BMP7
GO_Biological_Process_2021,regulation of interferon-gamma production (GO:0032649), 1/86,0.4541481435317654,0.6008001482138982,LGALS7
GO_Biological_Process_2021,sodium ion transmembrane transport (GO:0035725), 1/87,0.4579855995441643,0.604303076801131,SLC6A15
GO_Biological_Process_2021,sensory perception of mechanical stimulus (GO:0050954), 1/88,0.4617962686989018,0.6077526023291246,USH1G
GO_Biological_Process_2021,regulation of cation channel activity (GO:2001257), 1/89,0.4655803366115963,0.6111493824255579,KCNG1
GO_Biological_Process_2021,sodium ion transport (GO:0006814), 1/90,0.4693379877235953,0.614494066400996,SLC6A15
GO_Biological_Process_2021,sensory perception of sound (GO:0007605), 1/91,0.4730694050363985,0.6177872950089729,USH1G
GO_Biological_Process_2021,positive regulation of cellular component biogenesis (GO:0044089), 1/92,0.4767747705010831,0.6194413898070338,BMP7
GO_Biological_Process_2021,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100), 1/92,0.4767747705010831,0.6194413898070338,BMP7
GO_Biological_Process_2021,inflammatory response (GO:0006954), 2/230,0.4801085667084208,0.6194632189123614,KRT16;IL36G
GO_Biological_Process_2021,positive regulation of nucleic acid-templated transcription (GO:1903508), 4/511,0.4818966838829126,0.6194632189123614,FOXE1;DLX5;BMP7;TP63
GO_Biological_Process_2021,apoptotic process (GO:0006915), 2/231,0.4823794025976305,0.6194632189123614,TP53AIP1;TP63
GO_Biological_Process_2021,negative regulation of cell death (GO:0060548), 1/94,0.4841080667484399,0.6194632189123614,BMP7
GO_Biological_Process_2021,negative regulation of cellular protein metabolic process (GO:0032269), 1/94,0.4841080667484399,0.6194632189123614,SERPINB3
GO_Biological_Process_2021,regulation of kinase activity (GO:0043549), 1/94,0.4841080667484399,0.6194632189123614,NTRK2
GO_Biological_Process_2021,sensory perception of light stimulus (GO:0050953), 1/95,0.4877363550634022,0.6225378602316792,USH1G
GO_Biological_Process_2021,regulation of vesicle-mediated transport (GO:0060627), 1/96,0.4913393063708963,0.6255648311689607,HAP1
GO_Biological_Process_2021,regulation of MAP kinase activity (GO:0043405), 1/97,0.4949170964015145,0.6285447124299235,BMP7
GO_Biological_Process_2021,response to UV (GO:0009411), 1/99,0.5019978891504794,0.6359474505946222,SERPINB13
GO_Biological_Process_2021,organic acid transport (GO:0015849), 1/100,0.5055012372413341,0.6387926082552182,SLC6A15
GO_Biological_Process_2021,positive regulation of protein localization to membrane (GO:1905477), 1/101,0.508980114647036,0.6415927996047004,TP63
GO_Biological_Process_2021,regulation of cell death (GO:0010941), 1/102,0.5124346910952726,0.6427575878429593,BMP7
GO_Biological_Process_2021,cell junction assembly (GO:0034329), 1/102,0.5124346910952726,0.6427575878429593,PKP1
GO_Biological_Process_2021,chromosome organization (GO:0051276), 1/106,0.5260133410282987,0.6549381795156268,PADI3
GO_Biological_Process_2021,regulation of phosphatidylinositol 3-kinase signaling (GO:0014066), 1/106,0.5260133410282987,0.6549381795156268,NTRK2
GO_Biological_Process_2021,protein localization to nucleus (GO:0034504), 1/106,0.5260133410282987,0.6549381795156268,BMP7
GO_Biological_Process_2021,positive regulation of signal transduction (GO:0009967), 2/252,0.5286330200142284,0.6565906458856431,HAP1;TP63
GO_Biological_Process_2021,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169), 3/404,0.5398695988177654,0.668911600486402,NTRK2;COL4A6;HAP1
GO_Biological_Process_2021,cellular component assembly (GO:0022607), 2/261,0.5475905716303042,0.6741432769507236,KRT14;PKP1
GO_Biological_Process_2021,negative regulation of cell motility (GO:2000146), 1/114,0.5520543370305138,0.6741432769507236,KRT16
GO_Biological_Process_2021,positive regulation of cellular component organization (GO:0051130), 1/114,0.5520543370305138,0.6741432769507236,BMP7
GO_Biological_Process_2021,response to lipid (GO:0033993), 1/114,0.5520543370305138,0.6741432769507236,S100A7
GO_Biological_Process_2021,histone modification (GO:0016570), 1/114,0.5520543370305138,0.6741432769507236,PADI3
GO_Biological_Process_2021,positive regulation of kinase activity (GO:0033674), 1/114,0.5520543370305138,0.6741432769507236,NTRK2
GO_Biological_Process_2021,cellular response to molecule of bacterial origin (GO:0071219), 1/115,0.5552079236027212,0.6763684057318522,IL36G
GO_Biological_Process_2021,regulation of protein phosphorylation (GO:0001932), 2/266,0.5578921756207056,0.6769366316265792,NTRK2;BMP7
GO_Biological_Process_2021,sphingolipid metabolic process (GO:0006665), 1/116,0.5583394658494817,0.6769366316265792,CERS3
GO_Biological_Process_2021,positive regulation of cell projection organization (GO:0031346), 1/117,0.5614491169702507,0.6790860748116365,NTRK2
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222), 1/120,0.5706482371416394,0.6885731697576076,IL36G
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346), 1/121,0.5736718323621349,0.6892953814323284,GBP6
GO_Biological_Process_2021,positive regulation of MAPK cascade (GO:0043410), 2/274,0.5740289006780229,0.6892953814323284,NTRK2;S100A7
GO_Biological_Process_2021,regulation of mRNA catabolic process (GO:0061013), 1/122,0.5766742856471251,0.6892953814323284,PKP1
GO_Biological_Process_2021,potassium ion transport (GO:0006813), 1/122,0.5766742856471251,0.6892953814323284,KCNG1
